ts,open,high,low,close,volume
1700000000,104.3041,104.8041,103.8041,104.3041,1000.0
1700003600,104.3041,105.9766,103.8041,105.4766,1010.0
1700007200,105.4766,106.4850,104.9766,105.9850,1020.0
1700010800,105.9850,106.4850,105.2677,105.7677,1030.0
1700014400,105.7677,106.2677,104.3510,104.8510,1040.0
1700018000,104.8510,105.3510,102.8461,103.3461,1050.0
1700021600,103.3461,103.8461,100.9355,101.4355,1060.0
1700025200,101.4355,101.9355,98.8508,99.3508,1070.0
1700028800,99.3508,99.8508,96.8449,97.3449,1080.0
1700032400,97.3449,97.8449,95.1609,95.6609,1090.0
1700036000,95.6609,96.1609,94.0030,94.5030,1100.0
1700039600,94.5030,95.0030,93.5117,94.0117,1110.0
1700043200,94.0117,94.7465,93.5117,94.2465,1120.0
1700046800,94.2465,95.6789,93.7465,95.1789,1130.0
1700050400,95.1789,97.1959,94.6789,96.6959,1140.0
1700054000,96.6959,99.1135,96.1959,98.6135,1150.0
1700057600,98.6135,101.1993,98.1135,100.6993,1160.0
1700061200,100.6993,103.2003,100.1993,102.7003,1170.0
1700064800,102.7003,104.8738,102.2003,104.3738,1180.0
1700068400,104.3738,106.0170,103.8738,105.5170,1190.0
1700072000,105.5170,106.4913,105.0170,105.9913,1200.0
1700075600,105.9913,106.4913,105.2390,105.7390,1210.0
1700079200,105.7390,106.2390,104.2909,104.7909,1220.0
1700082800,104.7909,105.2909,102.7619,103.2619,1230.0
1700086400,103.2619,103.7619,100.8373,101.3373,1240.0
1700090000,101.3373,101.8373,98.7506,99.2506,1250.0
1700093600,99.2506,99.7506,96.7548,97.2548,1260.0
1700097200,97.2548,97.7548,95.0918,95.5918,1270.0
1700100800,95.5918,96.0918,93.9633,94.4633,1280.0
1700104400,94.4633,94.9633,93.5062,94.0062,1290.0
1700108000,94.0062,94.7759,93.5062,94.2759,1300.0
1700111600,94.2759,95.7396,93.7759,95.2396,1310.0
1700115200,95.2396,97.2806,94.7396,96.7806,1320.0
1700118800,96.7806,99.2119,96.2806,98.7119,1330.0
1700122400,98.7119,101.2994,98.2119,100.7994,1340.0
1700126000,100.7994,103.2900,100.2994,102.7900,1350.0
1700129600,102.7900,104.9423,102.2900,104.4423,1360.0
1700133200,104.4423,106.0559,103.9423,105.5559,1370.0
1700136800,105.5559,106.4959,105.0559,105.9959,1380.0
1700140400,105.9959,106.4959,105.2088,105.7088,1390.0
1700144000,105.7088,106.2088,104.2295,104.7295,1400.0
1700147600,104.7295,105.2295,102.6768,103.1768,1410.0
1700151200,103.1768,103.6768,100.7388,101.2388,1420.0
1700154800,101.2388,101.7388,98.6506,99.1506,1430.0
1700158400,99.1506,99.6506,96.6655,97.1655,1440.0
1700162000,97.1655,97.6655,95.0240,95.5240,1450.0
1700165600,95.5240,96.0240,93.9253,94.4253,1460.0
1700169200,94.4253,94.9253,93.5025,94.0025,1470.0
