ts,open,high,low,close,volume
1700000000,100.0000,100.5000,99.5000,100.0000,1000.0
1700003600,100.0000,110.4885,99.5000,109.9885,1010.0
1700007200,109.9885,118.1294,109.4885,117.6294,1020.0
1700010800,117.6294,121.6499,117.1294,121.1499,1030.0
1700014400,121.1499,121.6499,119.2859,119.7859,1040.0
1700018000,119.7859,120.2859,113.4694,113.9694,1050.0
1700021600,113.9694,114.4694,104.7224,105.2224,1060.0
1700025200,105.2224,105.7224,95.2843,95.7843,1070.0
1700028800,95.7843,96.2843,87.5640,88.0640,1080.0
1700032400,88.0640,88.5640,83.5494,84.0494,1090.0
1700036000,84.0494,85.3215,83.5494,84.8215,1100.0
1700039600,84.8215,90.7892,84.3215,90.2892,1110.0
1700043200,90.2892,99.7117,89.7892,99.2117,1120.0
1700046800,99.2117,110.0024,98.7117,109.5024,1130.0
1700050400,109.5024,119.2397,109.0024,118.7397,1140.0
1700054000,118.7397,125.2600,118.2397,124.7600,1150.0
1700057600,124.7600,126.6872,124.2600,126.1872,1160.0
1700061200,126.1872,126.6872,122.2697,122.7697,1170.0
1700064800,122.7697,123.2697,114.9424,115.4424,1180.0
1700068400,115.4424,115.9424,105.5970,106.0970,1190.0
1700072000,106.0970,106.5970,96.6196,97.1196,1200.0
1700075600,97.1196,97.6196,90.3061,90.8061,1210.0
1700079200,90.8061,91.3061,88.3002,88.8002,1220.0
1700082800,88.8002,92.1910,88.3002,91.6910,1230.0
1700086400,91.6910,99.3685,91.1910,98.8685,1240.0
1700090000,98.8685,109.1736,98.3685,108.6736,1250.0
1700093600,108.6736,119.3033,108.1736,118.8033,1260.0
1700097200,118.8033,127.3757,118.3033,126.8757,1270.0
1700100800,126.8757,131.5121,126.3757,131.0121,1280.0
1700104400,131.0121,131.5121,129.7979,130.2979,1290.0
1700108000,130.2979,130.7979,124.5058,125.0058,1300.0
1700111600,125.0058,125.5058,116.0293,116.5293,1310.0
1700115200,116.5293,117.0293,106.5419,107.0419,1320.0
1700118800,107.0419,107.5419,98.4643,98.9643,1330.0
1700122400,98.9643,99.4643,93.8721,94.3721,1340.0
1700126000,94.3721,94.9875,93.8721,94.4875,1350.0
1700129600,94.4875,99.8803,93.9875,99.3803,1360.0
1700133200,99.3803,108.4504,98.8803,107.9504,1370.0
1700136800,107.9504,118.6975,107.4504,118.1975,1380.0
1700140400,118.1975,128.2108,117.6975,127.7108,1390.0
1700144000,127.7108,134.7589,127.2108,134.2589,1400.0
1700147600,134.2589,136.8366,133.7589,136.3366,1410.0
1700151200,136.3366,136.8366,133.0331,133.5331,1420.0
1700154800,133.5331,134.0331,126.1328,126.6328,1430.0
1700158400,126.6328,127.1328,116.9230,117.4230,1440.0
1700162000,117.4230,117.9230,107.7565,108.2565,1450.0
1700165600,108.2565,108.7565,100.9756,101.4756,1460.0
1700169200,101.4756,101.9756,98.3384,98.8384,1470.0
