ts,open,high,low,close,volume
1700000000,104.5465,105.0465,104.0465,104.5465,1000.0
1700003600,104.5465,105.0465,103.2285,103.7285,1010.0
1700007200,103.7285,104.2285,102.0775,102.5775,1020.0
1700010800,102.5775,103.0775,100.6962,101.1962,1030.0
1700014400,101.1962,101.6962,99.2081,99.7081,1040.0
1700018000,99.7081,100.2081,97.7461,98.2461,1050.0
1700021600,98.2461,98.7461,96.4407,96.9407,1060.0
1700025200,96.9407,97.4407,95.4086,95.9086,1070.0
1700028800,95.9086,96.4086,94.7420,95.2420,1080.0
1700032400,95.2420,95.7420,94.5004,95.0004,1090.0
1700036000,95.0004,95.7054,94.5004,95.2054,1100.0
1700039600,95.2054,96.3387,94.7054,95.8387,1110.0
1700043200,95.8387,97.3437,95.3387,96.8437,1120.0
1700046800,96.8437,98.6306,96.3437,98.1306,1130.0
1700050400,98.1306,100.0846,97.6306,99.5846,1140.0
1700054000,99.5846,101.5756,99.0846,101.0756,1150.0
1700057600,101.0756,102.9706,100.5756,102.4706,1160.0
1700061200,102.4706,104.1448,101.9706,103.6448,1170.0
1700064800,103.6448,104.9935,103.1448,104.4935,1180.0
1700068400,104.4935,105.4408,103.9935,104.9408,1190.0
1700072000,104.9408,105.4468,104.4408,104.9468,1200.0
1700075600,104.9468,105.4468,104.0109,104.5109,1210.0
1700079200,104.5109,105.0109,103.1720,103.6720,1220.0
1700082800,103.6720,104.1720,102.0051,102.5051,1230.0
1700086400,102.5051,103.0051,100.6144,101.1144,1240.0
1700090000,101.1144,101.6144,99.1242,99.6242,1250.0
1700093600,99.6242,100.1242,97.6676,98.1676,1260.0
1700097200,98.1676,98.6676,96.3746,96.8746,1270.0
1700100800,96.8746,97.3746,95.3609,95.8609,1280.0
1700104400,95.8609,96.3609,94.7168,95.2168,1290.0
1700108000,95.2168,95.7168,94.5000,95.0000,1300.0
1700111600,95.0000,95.7299,94.5000,95.2299,1310.0
1700115200,95.2299,96.3859,94.7299,95.8859,1320.0
1700118800,95.8859,97.4093,95.3859,96.9093,1330.0
1700122400,96.9093,98.7089,96.4093,98.2089,1340.0
1700126000,98.2089,100.1684,97.7089,99.6684,1350.0
1700129600,99.6684,101.6575,99.1684,101.1575,1360.0
1700133200,101.1575,103.0433,100.6575,102.5433,1370.0
1700136800,102.5433,104.2019,102.0433,103.7019,1380.0
1700140400,103.7019,105.0298,103.2019,104.5298,1390.0
1700144000,104.5298,105.4530,104.0298,104.9530,1400.0
1700147600,104.9530,105.4530,104.4339,104.9339,1410.0
1700151200,104.9339,105.4339,103.9740,104.4740,1420.0
1700154800,104.4740,104.9740,103.1144,103.6144,1430.0
1700158400,103.6144,104.1144,101.9320,102.4320,1440.0
1700162000,102.4320,102.9320,100.5323,101.0323,1450.0
1700165600,101.0323,101.5323,99.0405,99.5405,1460.0
1700169200,99.5405,100.0405,97.5896,98.0896,1470.0
