ts,open,high,low,close,volume
1700000000,100.0000,100.5000,99.5000,100.0000,1000.0
1700003600,100.0000,101.0294,99.5000,100.5294,1010.0
1700007200,100.5294,101.4415,100.0294,100.9415,1020.0
1700010800,100.9415,101.6475,100.4415,101.1475,1030.0
1700014400,101.1475,101.6475,100.6093,101.1093,1040.0
1700018000,101.1093,101.6093,100.3485,100.8485,1050.0
1700021600,100.8485,101.3485,99.9411,100.4411,1060.0
1700025200,100.4411,100.9411,99.4992,99.9992,1070.0
1700028800,99.9992,100.4992,99.1432,99.6432,1080.0
1700032400,99.6432,100.1432,98.9725,99.4725,1090.0
1700036000,99.4725,100.0411,98.9725,99.5411,1100.0
1700039600,99.5411,100.3445,99.0411,99.8445,1110.0
1700043200,99.8445,100.8206,99.3445,100.3206,1120.0
1700046800,100.3206,101.3651,99.8206,100.8651,1130.0
1700050400,100.8651,101.8570,100.3651,101.3570,1140.0
1700054000,101.3570,102.1880,100.8570,101.6880,1150.0
1700057600,101.6880,102.2894,101.1880,101.7894,1160.0
1700061200,101.7894,102.2894,101.1485,101.6485,1170.0
1700064800,101.6485,102.1485,100.8121,101.3121,1180.0
1700068400,101.3121,101.8121,100.3748,100.8748,1190.0
1700072000,100.8748,101.3748,99.9560,100.4560,1200.0
1700075600,100.4560,100.9560,99.6703,100.1703,1210.0
1700079200,100.1703,100.6703,99.6000,100.1000,1220.0
1700082800,100.1000,100.7745,99.6000,100.2745,1230.0
1700086400,100.2745,101.1634,99.7745,100.6634,1240.0
1700090000,100.6634,101.6837,100.1634,101.1837,1250.0
1700093600,101.1837,102.2202,100.6837,101.7202,1260.0
1700097200,101.7202,102.6538,101.2202,102.1538,1270.0
1700100800,102.1538,102.8906,101.6538,102.3906,1280.0
1700104400,102.3906,102.8906,101.8849,102.3849,1290.0
1700108000,102.3849,102.8849,101.6503,102.1503,1300.0
1700111600,102.1503,102.6503,101.2565,101.7565,1310.0
1700115200,101.7565,102.2565,100.8121,101.3121,1320.0
1700118800,101.3121,101.8121,100.4382,100.9382,1330.0
1700122400,100.9382,101.4382,100.2386,100.7386,1340.0
1700126000,100.7386,101.2744,100.2386,100.7744,1350.0
1700129600,100.7744,101.5490,100.2744,101.0490,1360.0
1700133200,101.0490,102.0075,100.5490,101.5075,1370.0
1700136800,101.5075,102.5499,101.0075,102.0499,1380.0
1700140400,102.0499,103.0555,101.5499,102.5555,1390.0
1700144000,102.5555,103.4129,102.0555,102.9129,1400.0
1700147600,102.9129,103.5468,102.4129,103.0468,1410.0
1700151200,103.0468,103.5468,102.4367,102.9367,1420.0
1700154800,102.9367,103.4367,102.1216,102.6216,1430.0
1700158400,102.6216,103.1216,101.6911,102.1911,1440.0
1700162000,102.1911,102.6911,101.2628,101.7628,1450.0
1700165600,101.7628,102.2628,100.9538,101.4538,1460.0
1700169200,101.4538,101.9538,100.8519,101.3519,1470.0
