ts,open,high,low,close,volume
1700000000,104.2884,104.7884,103.7884,104.2884,1000.0
1700003600,104.2884,105.4465,103.7884,104.9465,1010.0
1700007200,104.9465,105.6481,104.4465,105.1481,1020.0
1700010800,105.1481,105.6481,104.3642,104.8642,1030.0
1700014400,104.8642,105.3642,103.6844,104.1844,1040.0
1700018000,104.1844,104.6844,102.7953,103.2953,1050.0
1700021600,103.2953,103.7953,101.9347,102.4347,1060.0
1700025200,102.4347,102.9347,101.3336,101.8336,1070.0
1700028800,101.8336,102.3336,101.1594,101.6594,1080.0
1700032400,101.6594,102.4747,101.1594,101.9747,1090.0
1700036000,101.9747,103.2226,101.4747,102.7226,1100.0
1700039600,102.7226,104.2402,102.2226,103.7402,1110.0
1700043200,103.7402,105.2985,103.2402,104.7985,1120.0
1700046800,104.7985,106.1585,104.2985,105.6585,1130.0
1700050400,105.6585,106.6299,105.1585,106.1299,1140.0
1700054000,106.1299,106.6299,105.6175,106.1175,1150.0
1700057600,106.1175,106.6175,105.1443,105.6443,1160.0
1700061200,105.6443,106.1443,104.3466,104.8466,1170.0
1700064800,104.8466,105.3466,103.4397,103.9397,1180.0
1700068400,103.9397,104.4397,102.6659,103.1659,1190.0
1700072000,103.1659,103.6659,102.2347,102.7347,1200.0
1700075600,102.7347,103.2720,102.2347,102.7720,1210.0
1700079200,102.7720,103.7888,102.2720,103.2888,1220.0
1700082800,103.2888,104.6787,102.7888,104.1787,1230.0
1700086400,104.1787,105.7441,103.6787,105.2441,1240.0
1700090000,105.2441,106.7441,104.7441,106.2441,1250.0
1700093600,106.2441,107.4543,105.7441,106.9543,1260.0
1700097200,106.9543,107.7209,106.4543,107.2209,1270.0
1700100800,107.2209,107.7209,106.4987,106.9987,1280.0
1700104400,106.9987,107.4987,105.8624,106.3624,1290.0
1700108000,106.3624,106.8624,104.9879,105.4879,1300.0
1700111600,105.4879,105.9879,104.1096,104.6096,1310.0
1700115200,104.6096,105.1096,103.4625,103.9625,1320.0
1700118800,103.9625,104.4625,103.2254,103.7254,1330.0
1700122400,103.7254,104.4764,103.2254,103.9764,1340.0
1700126000,103.9764,105.1743,103.4764,104.6743,1350.0
1700129600,104.6743,106.1684,104.1743,105.6684,1360.0
1700133200,105.6684,107.2354,105.1684,106.7354,1370.0
1700136800,106.7354,108.1343,106.2354,107.6343,1380.0
1700140400,107.6343,108.6652,107.1343,108.1652,1390.0
1700144000,108.1652,108.7183,107.6652,108.2183,1400.0
1700147600,108.2183,108.7183,107.3007,107.8007,1410.0
1700151200,107.8007,108.3007,106.5349,107.0349,1420.0
1700154800,107.0349,107.5349,105.6285,106.1285,1430.0
1700158400,106.1285,106.6285,104.8237,105.3237,1440.0
1700162000,105.3237,105.8237,104.3376,104.8376,1450.0
1700165600,104.8376,105.3376,104.3094,104.8094,1460.0
1700169200,104.8094,105.7663,104.3094,105.2663,1470.0
