ts,open,high,low,close,volume
1700000000,112.8981,113.3981,112.3981,112.8981,1000.0
1700003600,112.8981,114.1947,112.3981,113.6947,1010.0
1700007200,113.6947,114.1947,112.3694,112.8694,1020.0
1700010800,112.8694,113.3694,110.3865,110.8865,1030.0
1700014400,110.8865,111.3865,107.9936,108.4936,1040.0
1700018000,108.4936,108.9936,106.0386,106.5386,1050.0
1700021600,106.5386,107.0386,105.2624,105.7624,1060.0
1700025200,105.7624,107.1170,105.2624,106.6170,1070.0
1700028800,106.6170,109.6554,106.1170,109.1554,1080.0
1700032400,109.1554,113.5183,108.6554,113.0183,1090.0
1700036000,113.0183,118.0218,112.5183,117.5218,1100.0
1700039600,117.5218,122.3257,117.0218,121.8257,1110.0
1700043200,121.8257,125.6382,121.3257,125.1382,1120.0
1700046800,125.1382,127.4104,124.6382,126.9104,1130.0
1700050400,126.9104,127.4706,126.4104,126.9706,1140.0
1700054000,126.9706,127.4706,125.0661,125.5661,1150.0
1700057600,125.5661,126.0661,122.8030,123.3030,1160.0
1700061200,123.3030,123.8030,120.4974,120.9974,1170.0
1700064800,120.9974,121.4974,118.9760,119.4760,1180.0
1700068400,119.4760,119.9760,118.8733,119.3733,1190.0
1700072000,119.3733,121.4767,118.8733,120.9767,1200.0
1700075600,120.9767,124.6556,120.4767,124.1556,1210.0
1700079200,124.1556,128.8940,123.6556,128.3940,1220.0
1700082800,128.3940,133.4161,127.8940,132.9161,1230.0
1700086400,132.9161,137.3770,132.4161,136.8770,1240.0
1700090000,136.8770,140.0691,136.3770,139.5691,1250.0
1700093600,139.5691,141.0952,139.0691,140.5952,1260.0
1700097200,140.5952,141.0952,139.4664,139.9664,1270.0
1700100800,139.9664,140.4664,137.5986,138.0986,1280.0
1700104400,138.0986,138.5986,135.2114,135.7114,1290.0
1700108000,135.7114,136.2114,133.1513,133.6513,1300.0
1700111600,133.6513,134.1513,132.1847,132.6847,1310.0
1700115200,132.6847,133.8106,132.1847,133.3106,1320.0
1700118800,133.3106,136.1377,132.8106,135.6377,1330.0
1700122400,135.6377,139.8584,135.1377,139.3584,1340.0
1700126000,139.3584,144.3240,138.8584,143.8240,1350.0
1700129600,143.8240,148.7031,143.3240,148.2031,1360.0
1700133200,148.2031,152.1857,147.7031,151.6857,1370.0
1700136800,151.6857,154.1814,151.1857,153.6814,1380.0
1700140400,153.6814,154.4635,153.1814,153.9635,1390.0
1700144000,153.9635,154.4635,152.2252,152.7252,1400.0
1700147600,152.7252,153.2252,150.0318,150.5318,1410.0
1700151200,150.5318,151.0318,147.6823,148.1823,1420.0
1700154800,148.1823,148.6823,146.0142,146.5142,1430.0
1700158400,146.5142,147.0142,145.6980,146.1980,1440.0
1700162000,146.1980,148.0732,145.6980,147.5732,1450.0
1700165600,147.5732,151.0652,147.0732,150.5652,1460.0
1700169200,150.5652,155.2037,150.0652,154.7037,1470.0
