ts,open,high,low,close,volume
1700000000,109.8632,110.3632,109.3632,109.8632,1000.0
1700003600,109.8632,110.3632,109.1681,109.6681,1010.0
1700007200,109.6681,110.1681,108.8468,109.3468,1020.0
1700010800,109.3468,109.8468,108.5153,109.0153,1030.0
1700014400,109.0153,109.5153,108.2921,108.7921,1040.0
1700018000,108.7921,109.2921,108.2693,108.7693,1050.0
1700021600,108.7693,109.4898,108.2693,108.9898,1060.0
1700025200,108.9898,109.9369,108.4898,109.4369,1070.0
1700028800,109.4369,110.5386,108.9369,110.0386,1080.0
1700032400,110.0386,111.1849,109.5386,110.6849,1090.0
1700036000,110.6849,111.7550,110.1849,111.2550,1100.0
1700039600,111.2550,112.1465,110.7550,111.6465,1110.0
1700043200,111.6465,112.3011,111.1465,111.8011,1120.0
1700046800,111.8011,112.3011,111.2182,111.7182,1130.0
1700050400,111.7182,112.2182,110.9555,111.4555,1140.0
1700054000,111.4555,111.9555,110.6147,111.1147,1150.0
1700057600,111.1147,111.6147,110.3165,110.8165,1160.0
1700061200,110.8165,111.3165,110.1714,110.6714,1170.0
1700064800,110.6714,111.2522,110.1714,110.7522,1180.0
1700068400,110.7522,111.5766,110.2522,111.0766,1190.0
1700072000,111.0766,112.1024,110.5766,111.6024,1200.0
1700075600,111.6024,112.7382,111.1024,112.2382,1210.0
1700079200,112.2382,113.3659,111.7382,112.8659,1220.0
1700082800,112.8659,113.8690,112.3659,113.3690,1230.0
1700086400,113.3690,114.1617,112.8690,113.6617,1240.0
1700090000,113.6617,114.2098,113.1617,113.7098,1250.0
1700093600,113.7098,114.2098,113.0388,113.5388,1260.0
1700097200,113.5388,114.0388,112.7280,113.2280,1270.0
1700100800,113.2280,113.7280,112.3907,112.8907,1280.0
1700104400,112.8907,113.3907,112.1470,112.6470,1290.0
1700108000,112.6470,113.1470,112.0939,112.5939,1300.0
1700111600,112.5939,113.2818,112.0939,112.7818,1310.0
1700115200,112.7818,113.7019,112.2818,113.2019,1320.0
1700118800,113.2019,114.2888,112.7019,113.7888,1330.0
1700122400,113.7888,114.9362,113.2888,114.4362,1340.0
1700126000,114.4362,115.5230,113.9362,115.0230,1350.0
1700129600,115.0230,115.9427,114.5230,115.4427,1360.0
1700133200,115.4427,116.1301,114.9427,115.6301,1370.0
1700136800,115.6301,116.1301,115.0766,115.5766,1380.0
1700140400,115.5766,116.0766,114.8327,115.3327,1390.0
1700144000,115.3327,115.8327,114.4954,114.9954,1400.0
1700147600,114.9954,115.4954,114.1847,114.6847,1410.0
1700151200,114.6847,115.1847,114.0140,114.5140,1420.0
1700154800,114.5140,115.0625,114.0140,114.5625,1430.0
1700158400,114.5625,115.3557,114.0625,114.8557,1440.0
1700162000,114.8557,115.8591,114.3557,115.3591,1450.0
1700165600,115.3591,116.4869,114.8591,115.9869,1460.0
1700169200,115.9869,117.1226,115.4869,116.6226,1470.0
