ts,open,high,low,close,volume
1700000000,112.6700,113.1700,112.1700,112.6700,1000.0
1700003600,112.6700,113.1700,111.3749,111.8749,1010.0
1700007200,111.8749,112.3749,110.6571,111.1571,1020.0
1700010800,111.1571,111.6571,110.2389,110.7389,1030.0
1700014400,110.7389,111.2693,110.2389,110.7693,1040.0
1700018000,110.7693,111.7875,110.2693,111.2875,1050.0
1700021600,111.2875,112.7132,110.7875,112.2132,1060.0
1700025200,112.2132,113.8664,111.7132,113.3664,1070.0
1700028800,113.3664,115.0114,112.8664,114.5114,1080.0
1700032400,114.5114,115.9145,114.0114,115.4145,1090.0
1700036000,115.4145,116.4011,114.9145,115.9011,1100.0
1700039600,115.9011,116.4011,115.3987,115.8987,1110.0
1700043200,115.8987,116.3987,114.9546,115.4546,1120.0
1700046800,115.4546,115.9546,114.2241,114.7241,1130.0
1700050400,114.7241,115.2241,113.4326,113.9326,1140.0
1700054000,113.9326,114.4326,112.8206,113.3206,1150.0
1700057600,113.3206,113.8206,112.5845,113.0845,1160.0
1700061200,113.0845,113.8288,112.5845,113.3288,1170.0
1700064800,113.3288,114.5401,112.8288,114.0401,1180.0
1700068400,114.0401,115.5911,113.5401,115.0911,1190.0
1700072000,115.0911,116.7710,114.5911,116.2710,1200.0
1700075600,116.2710,117.8375,115.7710,117.3375,1210.0
1700079200,117.3375,118.5762,116.8375,118.0762,1220.0
1700082800,118.0762,118.8527,117.5762,118.3527,1230.0
1700086400,118.3527,118.8527,117.6461,118.1461,1240.0
1700090000,118.1461,118.6461,117.0535,117.5535,1250.0
1700093600,117.5535,118.0535,116.2666,116.7666,1260.0
1700097200,116.7666,117.2666,115.5247,116.0247,1270.0
1700100800,116.0247,116.5247,115.0561,115.5561,1280.0
1700104400,115.5561,116.0561,115.0221,115.5221,1290.0
1700108000,115.5221,116.4776,115.0221,115.9776,1300.0
1700111600,115.9776,117.3578,115.4776,116.8578,1310.0
1700115200,116.8578,118.4937,116.3578,117.9937,1320.0
1700118800,117.9937,119.6539,117.4937,119.1539,1330.0
1700122400,119.1539,120.6009,118.6539,120.1009,1340.0
1700126000,120.1009,121.1495,119.6009,120.6495,1350.0
1700129600,120.6495,121.2120,120.1495,120.7120,1360.0
1700133200,120.7120,121.2120,119.8196,120.3196,1370.0
1700136800,120.3196,120.8196,119.1152,119.6152,1380.0
1700140400,119.6152,120.1152,118.3177,118.8177,1390.0
1700144000,118.8177,119.3177,117.6690,118.1690,1400.0
1700147600,118.1690,118.6690,117.3746,117.8746,1410.0
1700151200,117.8746,118.5532,117.3746,118.0532,1420.0
1700154800,118.0532,119.2076,117.5532,118.7076,1430.0
1700158400,118.7076,120.2243,118.2076,119.7243,1440.0
1700162000,119.7243,121.4010,119.2243,120.9010,1450.0
1700165600,120.9010,122.4961,120.4010,121.9961,1460.0
1700169200,121.9961,123.2882,121.4961,122.7882,1470.0
