ts,open,high,low,close,volume
1700000000,113.9477,114.4477,113.4477,113.9477,1000.0
1700003600,113.9477,114.4477,112.4596,112.9596,1010.0
1700007200,112.9596,113.4596,112.0274,112.5274,1020.0
1700010800,112.5274,113.3132,112.0274,112.8132,1030.0
1700014400,112.8132,114.3034,112.3132,113.8034,1040.0
1700018000,113.8034,115.8118,113.3034,115.3118,1050.0
1700021600,115.3118,117.5254,114.8118,117.0254,1060.0
1700025200,117.0254,119.0810,116.5254,118.5810,1070.0
1700028800,118.5810,120.1540,118.0810,119.6540,1080.0
1700032400,119.6540,120.5381,119.1540,120.0381,1090.0
1700036000,120.0381,120.5381,119.1955,119.6955,1100.0
1700039600,119.6955,120.1955,118.2664,118.7664,1110.0
1700043200,118.7664,119.2664,117.0345,117.5345,1120.0
1700046800,117.5345,118.0345,115.8579,116.3579,1130.0
1700050400,116.3579,116.8579,115.0809,115.5809,1140.0
1700054000,115.5809,116.0809,114.9500,115.4500,1150.0
1700057600,115.4500,116.5536,114.9500,116.0536,1160.0
1700061200,116.0536,117.8003,115.5536,117.3003,1170.0
1700064800,117.3003,119.4410,116.8003,118.9410,1180.0
1700068400,118.9410,121.1305,118.4410,120.6305,1190.0
1700072000,120.6305,122.5114,120.1305,122.0114,1200.0
1700075600,122.0114,123.3018,121.5114,122.8018,1210.0
1700079200,122.8018,123.3647,122.3018,122.8647,1220.0
1700082800,122.8647,123.3647,121.7409,122.2409,1230.0
1700086400,122.2409,122.7409,120.6394,121.1394,1240.0
1700090000,121.1394,121.6394,119.3863,119.8863,1250.0
1700093600,119.8863,120.3863,118.3446,118.8446,1260.0
1700097200,118.8446,119.3446,117.8258,118.3258,1270.0
1700100800,118.3258,119.0131,117.8258,118.5131,1280.0
1700104400,118.5131,119.9170,118.0131,119.4170,1290.0
1700108000,119.4170,121.3726,118.9170,120.8726,1300.0
1700111600,120.8726,123.0796,120.3726,122.5796,1310.0
1700115200,122.5796,124.6766,122.0796,124.1766,1320.0
1700118800,124.1766,125.8288,123.6766,125.3288,1330.0
1700122400,125.3288,126.3105,124.8288,125.8105,1340.0
1700126000,125.8105,126.3105,125.0600,125.5600,1350.0
1700129600,125.5600,126.0600,124.1949,124.6949,1360.0
1700133200,124.6949,125.1949,122.9834,123.4834,1370.0
1700136800,123.4834,123.9834,121.7785,122.2785,1380.0
1700140400,122.2785,122.7785,120.9313,121.4313,1390.0
1700144000,121.4313,121.9313,120.7058,121.2058,1400.0
1700147600,121.2058,122.2133,120.7058,121.7133,1410.0
1700151200,121.7133,123.3859,121.2133,122.8859,1420.0
1700154800,122.8859,124.9929,122.3859,124.4929,1430.0
1700158400,124.4929,126.6972,123.9929,126.1972,1440.0
1700162000,126.1972,128.1377,125.6972,127.6377,1450.0
1700165600,127.6377,129.0181,127.1377,128.5181,1460.0
1700169200,128.5181,129.1791,128.0181,128.6791,1470.0
